,Date,Time,Headline,Cleaned_Headline
0,19/02/2024,9:31:00,"There Are 2.2 Billion Reasons to Buy Apple Stock Hand Over Fist, but 1 Metric Might Give Investors Pause","There Are 2.2 Billion Reasons to Buy Apple Stock Hand Over Fist, but 1 Metric Might Give Investors Pause"
1,21/02/2024,9:31:00,Apple、開発者向けに「macOS 14.4 Sonoma」や「iOS/iPadOS 17.4」などのBeta 4と「visionOS 1.1」のBeta 3を公開。,"Apple, Kai Fa Zhe Xiang keni[macOS 14.4 Sonoma] ya[iOS/iPadOS 17.4] nadonoBeta 4to[visionOS 1.1] noBeta 3woGong Kai ."
2,22/02/2024,9:31:00,Apple、最新のmacOS 14 SonomaやiOS 17、VisionOSで「Canon EOS R100」や「FUJIFILM X-S20」、「Nikon Z 8」、「Sony Alpha ZV-E1」などのRAWフォーマットをネイティブサポート。,"Apple, Zui Xin nomacOS 14 SonomayaiOS 17, VisionOSde[Canon EOS R100] ya[FUJIFILM X-S20] , [Nikon Z 8] , [Sony Alpha ZV-E1] nadonoRAWhuo-matsutowoneiteibusapo-to."
3,26/02/2024,11:24:05,"Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500","Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500"
4,27/02/2024,13:18:22,Major Shareholders Planning to Force Apple to Reveal Use of AI,Major Shareholders Planning to Force Apple to Reveal Use of AI
5,28/02/2024,9:31:00,Apple reportedly ends its longtime plans to build a self-driving EV,Apple reportedly ends its longtime plans to build a self-driving EV
6,29/02/2024,9:31:00,Will Apple create a better AI? Questions abound as Tim Cook hints at what’s to come.,Will Apple create a better AI? Questions abound as Tim Cook hints at what's to come.
7,02/03/2024,9:30:00,Microsoft hasn’t been worth this much more than Apple since 2003,Microsoft hasn't been worth this much more than Apple since 2003
8,05/03/2024,9:31:00,米Belkin、Apple TVのFaceTimeアプリでiPhoneをWebカメラにする連係カメラ機能用のマウント「iPhone Mount with MagSafe for Apple TV 4K」を発表。,"Mi Belkin, Apple TVnoFaceTimeapurideiPhonewoWebkameranisuruLian Xi kameraJi Neng Yong nomaunto[iPhone Mount with MagSafe for Apple TV 4K] woFa Biao ."
9,06/03/2024,9:31:00,"Apple stock falls to lowest level this year, while other tech companies see AI-fuelled rally","Apple stock falls to lowest level this year, while other tech companies see AI-fuelled rally"
10,08/03/2024,9:31:00,Apple、複数の脆弱性を修正した「macOS 12.7.4 Monterey」、「macOS 13.6.5 Ventura」および「Safari 17.4」をリリース。,"Apple, Fu Shu noCui Ruo Xing woXiu Zheng shita[macOS 12.7.4 Monterey] , [macOS 13.6.5 Ventura] oyobi[Safari 17.4] woriri-su."
11,09/03/2024,9:31:00,"Stocks Fade After Jobs Report; Salesforce, Apple Leads Dow Jones; Nvidia Reverses Sharply Lower","Stocks Fade After Jobs Report; Salesforce, Apple Leads Dow Jones; Nvidia Reverses Sharply Lower"
12,10/03/2024,14:53:59,Apple MacBook Air 2024 review: The best keeps getting better,Apple MacBook Air 2024 review: The best keeps getting better
13,11/03/2024,9:31:00,Apple、DEATH STRANDING DIRECTOR’S CUTやBIOHAZARD RE:4/VILLAGE、Strayなどのゲームタイトルが特別価格で販売するキャンペーンをMac App Storeで開催。,"Apple, DEATH STRANDING DIRECTOR'S CUTyaBIOHAZARD RE:4/VILLAGE, Straynadonoge-mutaitorugaTe Bie Jia Ge deFan Mai surukiyanpe-nwoMac App StoredeKai Cui ."
14,13/03/2024,9:31:00,"Apple’s iPhone business has been sluggish, but here’s the good news","Apple's iPhone business has been sluggish, but here's the good news"
15,14/03/2024,9:31:00,Apple Enters Oversold Territory,Apple Enters Oversold Territory
16,16/03/2024,9:31:00,Misleading talk about iPhone demand in China costs Apple $490 million,Misleading talk about iPhone demand in China costs Apple $490 million
17,26/02/2024,11:24:05,"Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500","Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500"
18,27/02/2024,13:18:22,Major Shareholders Planning to Force Apple to Reveal Use of AI,Major Shareholders Planning to Force Apple to Reveal Use of AI
19,28/02/2024,9:31:00,Apple、開発者向けに「macOS 14.4 Sonoma Beta 5」や「iOS/iPadOS 17.4 RC」、「visionOS 1.1 Beta 4」などを公開。「iOS 16.7.6」や「iOS 15.8.2」もRCに。,"Apple, Kai Fa Zhe Xiang keni[macOS 14.4 Sonoma Beta 5] ya[iOS/iPadOS 17.4 RC] , [visionOS 1.1 Beta 4] nadowoGong Kai . [iOS 16.7.6] ya[iOS 15.8.2] moRCni."
20,29/02/2024,9:31:00,Will Apple create a better AI? Questions abound as Tim Cook hints at what’s to come.,Will Apple create a better AI? Questions abound as Tim Cook hints at what's to come.
21,02/03/2024,9:31:00,Microsoft hasn’t been worth this much more than Apple since 2003,Microsoft hasn't been worth this much more than Apple since 2003
22,05/03/2024,9:31:00,米Belkin、Apple TVのFaceTimeアプリでiPhoneをWebカメラにする連係カメラ機能用のマウント「iPhone Mount with MagSafe for Apple TV 4K」を発表。,"Mi Belkin, Apple TVnoFaceTimeapurideiPhonewoWebkameranisuruLian Xi kameraJi Neng Yong nomaunto[iPhone Mount with MagSafe for Apple TV 4K] woFa Biao ."
23,06/03/2024,9:31:00,Apple’s stock is in a ‘funk.’ Could Warren Buffett be selling more shares?,Apple's stock is in a 'funk.' Could Warren Buffett be selling more shares?
24,08/03/2024,9:31:00,Apple、複数の脆弱性を修正した「macOS 12.7.4 Monterey」、「macOS 13.6.5 Ventura」および「Safari 17.4」をリリース。,"Apple, Fu Shu noCui Ruo Xing woXiu Zheng shita[macOS 12.7.4 Monterey] , [macOS 13.6.5 Ventura] oyobi[Safari 17.4] woriri-su."
25,09/03/2024,9:31:00,"Stocks Fade After Jobs Report; Salesforce, Apple Leads Dow Jones; Nvidia Reverses Sharply Lower","Stocks Fade After Jobs Report; Salesforce, Apple Leads Dow Jones; Nvidia Reverses Sharply Lower"
26,10/03/2024,14:53:59,Apple MacBook Air 2024 review: The best keeps getting better,Apple MacBook Air 2024 review: The best keeps getting better
27,11/03/2024,9:31:00,Apple、DEATH STRANDING DIRECTOR’S CUTやBIOHAZARD RE:4/VILLAGE、Strayなどのゲームタイトルが特別価格で販売するキャンペーンをMac App Storeで開催。,"Apple, DEATH STRANDING DIRECTOR'S CUTyaBIOHAZARD RE:4/VILLAGE, Straynadonoge-mutaitorugaTe Bie Jia Ge deFan Mai surukiyanpe-nwoMac App StoredeKai Cui ."
28,13/03/2024,9:31:00,"Apple’s iPhone business has been sluggish, but here’s the good news","Apple's iPhone business has been sluggish, but here's the good news"
29,14/03/2024,9:31:00,Apple Enters Oversold Territory,Apple Enters Oversold Territory
30,16/03/2024,9:31:00,Misleading talk about iPhone demand in China costs Apple $490 million,Misleading talk about iPhone demand in China costs Apple $490 million
31,18/03/2024,14:16:24,Is Apple (AAPL) Facing Increasing Risk of Chinese Bans?,Is Apple (AAPL) Facing Increasing Risk of Chinese Bans?
32,22/03/2024,13:24:14,"Analysts mostly non-plussed by DoJ suit, and believe Apple will win","Analysts mostly non-plussed by DoJ suit, and believe Apple will win"
33,23/03/2024,9:31:00,"Jim Cramer throws cold water on DOJ’s lawsuit against Apple, calls it a ‘buying opportunity’","Jim Cramer throws cold water on DOJ's lawsuit against Apple, calls it a 'buying opportunity'"
