,Date,Time,Headline,Cleaned_Headline
0,26/02/2024,11:24:05,"Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500","Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500"
1,26/02/2024,11:34:00,This investor has a huge bet on Berkshire Hathaway and says Apple is overvalued,This investor has a huge bet on Berkshire Hathaway and says Apple is overvalued
2,27/02/2024,13:18:22,Major Shareholders Planning to Force Apple to Reveal Use of AI,Major Shareholders Planning to Force Apple to Reveal Use of AI
3,28/02/2024,9:31:00,Apple、開発者向けに「macOS 14.4 Sonoma Beta 5」や「iOS/iPadOS 17.4 RC」、「visionOS 1.1 Beta 4」などを公開。「iOS 16.7.6」や「iOS 15.8.2」もRCに。,"Apple, Kai Fa Zhe Xiang keni[macOS 14.4 Sonoma Beta 5] ya[iOS/iPadOS 17.4 RC] , [visionOS 1.1 Beta 4] nadowoGong Kai . [iOS 16.7.6] ya[iOS 15.8.2] moRCni."
4,28/02/2024,9:31:00,Apple reportedly ends its longtime plans to build a self-driving EV,Apple reportedly ends its longtime plans to build a self-driving EV
5,28/02/2024,10:56:10,Apple Stock Could Notch New Record High,Apple Stock Could Notch New Record High
6,28/02/2024,12:54:18,AAPL investors don’t care that the Apple Car is cancelled,AAPL investors don't care that the Apple Car is cancelled
7,29/02/2024,9:31:00,Will Apple create a better AI? Questions abound as Tim Cook hints at what’s to come.,Will Apple create a better AI? Questions abound as Tim Cook hints at what's to come.
8,29/02/2024,9:31:00,Apple shareholders reject AI-disclosure proposal,Apple shareholders reject AI-disclosure proposal
9,02/03/2024,9:31:00,Microsoft hasn’t been worth this much more than Apple since 2003,Microsoft hasn't been worth this much more than Apple since 2003
10,02/03/2024,12:54:07,Will Apple Acquire Rivian? 1 Wall Street Analyst Thinks it Should,Will Apple Acquire Rivian? 1 Wall Street Analyst Thinks it Should
11,05/03/2024,9:31:00,米Belkin、Apple TVのFaceTimeアプリでiPhoneをWebカメラにする連係カメラ機能用のマウント「iPhone Mount with MagSafe for Apple TV 4K」を発表。,"Mi Belkin, Apple TVnoFaceTimeapurideiPhonewoWebkameranisuruLian Xi kameraJi Neng Yong nomaunto[iPhone Mount with MagSafe for Apple TV 4K] woFa Biao ."
12,05/03/2024,9:31:00,Apple AI and why investors should expect revenue growth,Apple AI and why investors should expect revenue growth
13,05/03/2024,10:48:00,"Chinese smartphone sales fall, customers unimpressed by Apple’s new iPhone model","Chinese smartphone sales fall, customers unimpressed by Apple's new iPhone model"
14,06/03/2024,9:31:00,Apple’s stock is in a ‘funk.’ Could Warren Buffett be selling more shares?,Apple's stock is in a 'funk.' Could Warren Buffett be selling more shares?
