,Date,Time,Cleaned_Headline
0,19/02/2024,9:31:00,"There Are 2.2 Billion Reasons to Buy Apple Stock Hand Over Fist, but 1 Metric Might Give Investors Pause"
1,19/02/2024,9:31:00,EU regulators reportedly will fine Apple more than $500 million in antitrust probe
2,21/02/2024,11:36:00,"Apple, Kai Fa Zhe Xiang keni[macOS 14.4 Sonoma] ya[iOS/iPadOS 17.4] nadonoBeta 4to[visionOS 1.1] noBeta 3woGong Kai ."
3,21/02/2024,12:07:00,Apple's newest app is a thrilling gift for sports fans
4,22/02/2024,9:31:00,"Apple, Zui Xin nomacOS 14 SonomayaiOS 17, VisionOSde[Canon EOS R100] ya[FUJIFILM X-S20] , [Nikon Z 8] , [Sony Alpha ZV-E1] nadonoRAWhuo-matsutowoneiteibusapo-to."
5,26/02/2024,9:31:00,"Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500"
6,26/02/2024,12:54:07,This investor has a huge bet on Berkshire Hathaway and says Apple is overvalued
7,27/02/2024,9:31:00,Major Shareholders Planning to Force Apple to Reveal Use of AI
8,28/02/2024,9:31:00,"Apple, Kai Fa Zhe Xiang keni[macOS 14.4 Sonoma Beta 5] ya[iOS/iPadOS 17.4 RC] , [visionOS 1.1 Beta 4] nadowoGong Kai . [iOS 16.7.6] ya[iOS 15.8.2] moRCni."
9,28/02/2024,11:31:00,Apple reportedly ends its longtime plans to build a self-driving EV
10,28/02/2024,13:35:42,Apple Stock Could Notch New Record High
11,28/02/2024,14:00:00,AAPL investors don't care that the Apple Car is cancelled
12,29/02/2024,15:00:00,Will Apple create a better AI? Questions abound as Tim Cook hints at what's to come.
13,29/02/2024,9:31:00,Apple shareholders reject AI-disclosure proposal
14,02/03/2024,9:31:00,Microsoft hasn't been worth this much more than Apple since 2003
15,02/03/2024,9:31:00,Will Apple Acquire Rivian? 1 Wall Street Analyst Thinks it Should
16,05/03/2024,9:31:00,Apple AI and why investors should expect revenue growth
17,05/03/2024,10:03:00,"Mi Belkin, Apple TVnoFaceTimeapurideiPhonewoWebkameranisuruLian Xi kameraJi Neng Yong nomaunto[iPhone Mount with MagSafe for Apple TV 4K] woFa Biao ."
18,05/03/2024,10:48:00,"Chinese smartphone sales fall, customers unimpressed by Apple's new iPhone model"
19,06/03/2024,13:00:00,Apple's stock is in a 'funk.' Could Warren Buffett be selling more shares?
