,Cleaned_Headline,Sentiment
0,"Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500",positive
1,This investor has a huge bet on Berkshire Hathaway and says Apple is overvalued,negative
2,Major Shareholders Planning to Force Apple to Reveal Use of AI,neutral
3,"Apple, Kai Fa Zhe Xiang keni[macOS 14.4 Sonoma Beta 5] ya[iOS/iPadOS 17.4 RC] , [visionOS 1.1 Beta 4] nadowoGong Kai . [iOS 16.7.6] ya[iOS 15.8.2] moRCni.",neutral
4,Apple reportedly ends its longtime plans to build a self-driving EV,negative
5,Apple Stock Could Notch New Record High,positive
6,AAPL investors don't care that the Apple Car is cancelled,neutral
7,Will Apple create a better AI? Questions abound as Tim Cook hints at what's to come.,neutral
8,Apple shareholders reject AI-disclosure proposal,negative
9,Microsoft hasn't been worth this much more than Apple since 2003,negative
10,Will Apple Acquire Rivian? 1 Wall Street Analyst Thinks it Should,neutral
11,"Mi Belkin, Apple TVnoFaceTimeapurideiPhonewoWebkameranisuruLian Xi kameraJi Neng Yong nomaunto[iPhone Mount with MagSafe for Apple TV 4K] woFa Biao .",neutral
12,Apple AI and why investors should expect revenue growth,positive
13,"Chinese smartphone sales fall, customers unimpressed by Apple's new iPhone model",negative
14,Apple's stock is in a 'funk.' Could Warren Buffett be selling more shares?,negative
15,"Apple stock falls to lowest level this year, while other tech companies see AI-fuelled rally",negative
16,"Apple, Fu Shu noCui Ruo Xing woXiu Zheng shita[macOS 12.7.4 Monterey] , [macOS 13.6.5 Ventura] oyobi[Safari 17.4] woriri-su.",neutral
17,Apple: Reasons For Selloff & How It May Present An Opportunity (Rating Downgrade) (AAPL),negative
18,"Stocks Fade After Jobs Report; Salesforce, Apple Leads Dow Jones; Nvidia Reverses Sharply Lower",positive
19,Apple MacBook Air 2024 review: The best keeps getting better,positive
20,"Apple, DEATH STRANDING DIRECTOR'S CUTyaBIOHAZARD RE:4/VILLAGE, Straynadonoge-mutaitorugaTe Bie Jia Ge deFan Mai surukiyanpe-nwoMac App StoredeKai Cui .",neutral
21,"Apple's iPhone business has been sluggish, but here's the good news",negative
22,"Down 10% This Year, Will Gen AI Tools Help Apple Stock Recover?",neutral
23,How To Earn $500 A Month From Apple Stock,positive
24,Apple Enters Oversold Territory,neutral
25,Misleading talk about iPhone demand in China costs Apple $490 million,negative
26,Is Apple (AAPL) Facing Increasing Risk of Chinese Bans?,negative
27,"Analysts mostly non-plussed by DoJ suit, and believe Apple will win",positive
28,Apple's Days of Smartphone Monopoly Are Coming To An End,negative
29,"Jim Cramer throws cold water on DOJ's lawsuit against Apple, calls it a 'buying opportunity'",positive
30,"Jason Cases, ApplenoVision ProtoZhou Bian Ji Qi woAn Quan niYun beru[Apple Vision Pro Case] woFa Mai .",neutral
