,Cleaned_Headline,Sentiment
0,"There Are 2.2 Billion Reasons to Buy Apple Stock Hand Over Fist, but 1 Metric Might Give Investors Pause",neutral
1,EU regulators reportedly will fine Apple more than $500 million in antitrust probe,negative
2,"Apple, Kai Fa Zhe Xiang keni[macOS 14.4 Sonoma] ya[iOS/iPadOS 17.4] nadonoBeta 4to[visionOS 1.1] noBeta 3woGong Kai .",neutral
3,Apple's newest app is a thrilling gift for sports fans,positive
4,"Apple, Zui Xin nomacOS 14 SonomayaiOS 17, VisionOSde[Canon EOS R100] ya[FUJIFILM X-S20] , [Nikon Z 8] , [Sony Alpha ZV-E1] nadonoRAWhuo-matsutowoneiteibusapo-to.",positive
5,"Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500",positive
6,This investor has a huge bet on Berkshire Hathaway and says Apple is overvalued,negative
7,Major Shareholders Planning to Force Apple to Reveal Use of AI,neutral
8,"Apple, Kai Fa Zhe Xiang keni[macOS 14.4 Sonoma Beta 5] ya[iOS/iPadOS 17.4 RC] , [visionOS 1.1 Beta 4] nadowoGong Kai . [iOS 16.7.6] ya[iOS 15.8.2] moRCni.",neutral
9,Apple reportedly ends its longtime plans to build a self-driving EV,negative
10,Apple Stock Could Notch New Record High,positive
11,AAPL investors don't care that the Apple Car is cancelled,neutral
12,Will Apple create a better AI? Questions abound as Tim Cook hints at what's to come.,neutral
13,Apple shareholders reject AI-disclosure proposal,negative
14,Microsoft hasn't been worth this much more than Apple since 2003,negative
15,Will Apple Acquire Rivian? 1 Wall Street Analyst Thinks it Should,neutral
16,Apple AI and why investors should expect revenue growth,neutral
17,"Mi Belkin, Apple TVnoFaceTimeapurideiPhonewoWebkameranisuruLian Xi kameraJi Neng Yong nomaunto[iPhone Mount with MagSafe for Apple TV 4K] woFa Biao .",positive
18,"Chinese smartphone sales fall, customers unimpressed by Apple's new iPhone model",negative
19,Apple's stock is in a 'funk.' Could Warren Buffett be selling more shares?,negative
20,"Apple stock falls to lowest level this year, while other tech companies see AI-fuelled rally",negative
21,"Apple, Fu Shu noCui Ruo Xing woXiu Zheng shita[macOS 12.7.4 Monterey] , [macOS 13.6.5 Ventura] oyobi[Safari 17.4] woriri-su.",neutral
22,Apple: Reasons For Selloff & How It May Present An Opportunity (Rating Downgrade) (AAPL),negative
23,"Stocks Fade After Jobs Report; Salesforce, Apple Leads Dow Jones; Nvidia Reverses Sharply Lower",positive
24,Apple MacBook Air 2024 review: The best keeps getting better,positive
25,"Apple, DEATH STRANDING DIRECTOR'S CUTyaBIOHAZARD RE:4/VILLAGE, Straynadonoge-mutaitorugaTe Bie Jia Ge deFan Mai surukiyanpe-nwoMac App StoredeKai Cui .",neutral
26,"Apple's iPhone business has been sluggish, but here's the good news",negative
27,"Down 10% This Year, Will Gen AI Tools Help Apple Stock Recover?",neutral
28,How To Earn $500 A Month From Apple Stock,positive
29,Apple Enters Oversold Territory,neutral
30,Misleading talk about iPhone demand in China costs Apple $490 million,negative
31,Is Apple (AAPL) Facing Increasing Risk of Chinese Bans?,negative
32,"Analysts mostly non-plussed by DoJ suit, and believe Apple will win",positive
33,Apple's Days of Smartphone Monopoly Are Coming To An End,negative
34,"Jim Cramer throws cold water on DOJ's lawsuit against Apple, calls it a 'buying opportunity'",positive
35,"Jason Cases, ApplenoVision ProtoZhou Bian Ji Qi woAn Quan niYun beru[Apple Vision Pro Case] woFa Mai .",neutral
36,"Apple, macOS 12 MontereytomacOS 13 VenturaXiang keniWebRTCnoCui Ruo Xing woXiu Zheng shita[Safari v17.4.1] woriri-su.",neutral
37,Soft Landing Still The Narrative & Stock Of The Week: Apple (AAPL),positive
38,Apple (AAPL) Registers a Bigger Fall Than the Market: Important Facts to Note,neutral
39,DOJ compares AAPL share buybacks with R&D spend as 'evidence' of lack of competition,positive
40,"Apple Sales, Earnings Seen Declining In 2024 Amid iPhone Slowdown",negative
41,Loop Capital cuts AAPL price target to $170 over weak iPhone demand,negative
42,Should Investors Buy Apple (AAPL) in April?,neutral
43,"Apple, Kai Fa Zhe Xiang keni[macOS 14.5 Sonoma] ya[iOS/iPadOS 17.5] , [visionOS 1.2] noBeta 1woGong Kai .",neutral
44,Apple shareholders look for positive signs after worst quarter relative to S&P since 2013,neutral
45,"Senior Vice President Deirdre O'Brien Sells 54,732 Shares of Apple Inc (AAPL)",negative
46,"Apple Inc (AAPL) CEO Timothy Cook Sells 196,410 Shares",negative
47,Not UK Or Japan: India To Emerge As Apple's Third-Largest iPhone Market In Just 2 Years,positive
48,"Apple CEO Cook sells 196,410 AAPL shares at $169.33",negative
49,Apple to Report Earnings on May 2 Following Vision Pro Launch,positive
50,Report: Apple's already eyeing its next big thing,positive
51,Apple: Antitrust Case Could Prove Positive For Investors,positive
52,"Tim Cook offloads nearly 200,000 shares of AAPL stock worth $32 million",negative
53,Wedbush maintains 'outperform' rating on Apple stock with a $250 price target,negative
54,"Bargain Alert: Apple Shares Are Starting To Look Undervalued - Apple (NASDAQ:AAPL), Amazon.com (NASDAQ:AM",negative
55,Apple Can't Recover,negative
56,Apple M1/M3chitsupuDa Zai noiMacyaStudio DisplaynosutandoniYin tsuGua ketesupe-suwoYou Xiao Huo Yong dekiruUSBhabu[PULWTOP 6-in-1 USB-C Hub for iMac] gaFa Mai .,neutral
57,"Judge in Apple antitrust case steps down, due to apparent conflict of interest",negative
58,Apple's Services business is a bright spot in the company's rough 2024: BofA,positive
59,"Apple's earnings power is once again being overlooked by investors, positioning the stock for 28% upside, BofA says",positive
60,"Zong Shu kiYuan Gao Yong Zhi yashinariohuo-muBiao Shi gaKe Neng naMacYong edeita[iText Express/Pro] gaYue 4Nian burinoatsupude-tode, Apple SilicontomacOS 14 SonomaniDui Ying .",neutral
